,title,score,visitor,blog,address,alt,lon
0,우리들 약국,4.58,116,1,전북 전주시 덕진구 권삼득로 303 1층,35.8432195149705,127.128450121907
1,민트약국,4.57,261,1,전북 전주시 덕진구 명륜4길 21 1층 민트약국,35.8438745986743,127.126960937942
2,하나큰약국,4.35,353,None,전북 전주시 덕진구 조경단로 97,35.8429344828792,127.138637147868
3,레몬약국,4.4,339,1,전북 전주시 덕진구 기린대로 465 세움펠리피아 3층,35.8415096887459,127.126030708573
4,원약국,4.3,606,None,전북 전주시 덕진구 기린대로 471-1,35.8418589521684,127.125919576124
5,엠약국,4.4,790,3,전북 전주시 덕진구 기린대로 479-1,35.8423696917784,127.125232116343
6,행복이열린약국,4.39,447,None,전북 전주시 덕진구 백제대로 630-1 행복이열린약국,35.8419913272268,127.138628976001
7,라라약국,None,38,None,전북 전주시 덕진구 기린대로 477,35.8421314337713,127.125372095636
8,덕진종로약국,4.3,268,1,전북 전주시 덕진구 기린대로 481,35.8424940856606,127.125039379861
9,힘찬약국,4.44,188,3,전북 전주시 덕진구 기린대로 485,35.8426399765579,127.124714180741
10,미소온누리약국,4.35,686,52,전북 전주시 덕진구 기린대로 489 한나여성병원1층 미소온누리약국,35.8427616178797,127.124393702237
11,종로약국,4.29,452,1,전북 전주시 덕진구 백제대로 646 1층 종로약국,35.8425758371358,127.140066966992
12,행복드리는약국,4.09,172,None,전북 전주시 덕진구 건지2길 11,35.8442935871163,127.141183549656
13,바다약국,4.3,574,None,전북 전주시 덕진구 송천로 30 벽란도,35.8560778928097,127.1191965875
14,보람약국,4.4,611,None,전북 전주시 덕진구 송천중앙로 123,35.8580704352364,127.120592982436
15,전주온누리약국,4.31,"1,304",None,전북 전주시 완산구 온고을로 18 전북프뢰벨,35.8341729997163,127.12103516099
16,토마토종합약국,4.34,633,1,전북 전주시 완산구 온고을로 22,35.8342013340893,127.120462223442
17,천사약국,4.19,808,None,전북 전주시 덕진구 송천중앙로 136 성신정형외과,35.8589193189673,127.121495356835
18,백화점약국,4.2,"1,402",1,전북 전주시 완산구 온고을로 26 트윈폴리스-1,35.8342007039177,127.12010130117
19,회생약국,4.24,"1,315",None,전북 전주시 덕진구 송천중앙로 147,35.8600306188231,127.120995961043
20,큰사랑온누리약국,4.28,657,None,전북 전주시 덕진구 솔내로 133 맘모스 빌딩,35.8619882467687,127.126580719833
21,전주솔약국,4.29,495,None,전북 전주시 덕진구 송천중앙로 149,35.8601806053522,127.120978253276
22,명성약국,4.35,264,1,전북 전주시 덕진구 안덕원로 159,35.8335958272258,127.145282231745
23,청강한약국,4.41,98,1,전북 전주시 덕진구 오송1길 29,35.8630472257336,127.130035371822
24,애플약국,4.24,672,None,전북 전주시 완산구 당산로 110,35.8319922704366,127.120361822481
25,화랑약국,4.32,474,None,전북 전주시 덕진구 송천중앙로 157,35.8609428794742,127.121074294555
26,휴베이스 서신이마트약국,4.43,436,3,전북 전주시 완산구 당산로 106,35.8320016314101,127.120013431538
27,장미약국,4.42,482,None,전북 전주시 완산구 서신로 109,35.8351055402304,127.115625462922
28,메디팜 전라약국,4.67,13,None,전북 전주시 덕진구 안덕원로 144,35.8320402226642,127.144487405208
29,다정약국,4.36,431,None,전북 전주시 완산구 서신로 107,35.8349666550733,127.115626810921
